소속,직위,성명,본인과의 관계,재산 구분,재산의 종류,소재지 면적 등 권리의 명세,종전가액(천원),증가액(천원),감소액(천원),현재가액(천원),변동사유
,,,공지사,,항,,,,,,
,,,○ 정기재산변동신고 공개목,,록,,,,,,
,,,◇ 국회공직자윤리위원회공고 제2026 - 3,,호,,,,,,
,,,공직자윤리법 제10조제1항에 따라 국회공직자의 재산변동사항을 다음과 같이 공개합니다,,.,,,,,,
,,,2026년 3월 26,,일,,,,,,
,,,국회공직자윤리위원,,,회,,,,,
국회,국회의장,우원식,본인,토지,임야,"경기도 양평군 단월면 봉상리 산 102-1번지 18,471.00㎡","45,808",370,0,"46,178",가액변동
국회,국회의장,우원식,본인,토지,대지,충청남도 당진시 읍내동 1456번지 351.30㎡,"357,975",702,0,"358,677",가액변동
국회,국회의장,우원식,본인,토지,대지,충청남도 당진시 읍내동 1457번지 285.30㎡,"293,574",570,0,"294,144",가액변동
국회,국회의장,우원식,본인,건물,연립주택,서울특별시 노원구 하계1동 이코아빌 건물 146.69㎡,"348,000","4,000",0,"352,000",가액변동
국회,국회의장,우원식,본인,건물,근린생활시설( 전세(임차)권),서울특별시 노원구 공릉동 무궁화빌딩 건물 109.90㎡,"30,000",0,0,"30,000",변동없음
국회,국회의장,우원식,배우자,건물,상가,서울특별시 노원구 중계동 건영아파트상가 대지 259.32㎡ 건물 370.60㎡,"1,332,968","14,903",0,"1,347,871",가액변동
국회,국회의장,우원식,배우자,건물,사무실(전세(임 차)권),서울특별시 노원구 중계본동 유경백화점 건물 0.00㎡ (건물 49.00㎡ 감소),"10,000",0,"10,000",0,계약해지
국회,국회의장,우원식,배우자,건물,근린생활시설( 전세(임차)권),"서울특별시 노원구 공릉동 삼익아파트상가 대지 8.68㎡ 건물 19.44㎡ (대지 8.68㎡ 증가, 건물 19.44㎡ 증가)",0,"5,000",0,"5,000",신규계약
국회,국회의장,우원식,본인,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,자동차,"2016년식 올뉴카니발 R2.2 디젤9인승 프레스티지 배기량(2,199cc) 감소","10,370",0,"10,370 (3,000)",0,자동차매도
국회,국회의장,우원식,배우자,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,자동차,"2016년식 투싼 TL디젤 1.7 Premium 2WD DCT 배기량(1,685cc)","9,200",0,930,"8,270",가액변동
국회,국회의장,우원식,본인,예금,,"AIA생명보험주식회사 20,129(873 증가), 국민은행 304,012(143,229 증가), 농협은행 13,622(4,576 증가), 삼성생명보험 6,126, 스탠다드차타드은행 362","195,573","151,186","2,508","344,251","급여저축 및 임대수익, 생활비 지출"
국회,국회의장,우원식,배우자,예금,,"(주)KB손해보험 22,065(2,361 증가), (주)KEB하나은행 3, AIA생명보험주식회사 22,293(1,053 증가), 국민은행 18,711(22,648 감소), 노란우산 14,800(1,200 증가), 신한라이프생명보험 17,000(12,000 증가), 우리은행 4,675(4,390 증가)","101,191","21,241","22,885","99,547",
국회,국회의장,우원식,본인,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,,"농협은행 24,929(22,806 감소)","47,735",0,"22,806","24,929",의정활동 지출
국회,국회의장,우원식,배우자,채권,,사인간채권,"10,000",0,0,"10,000",변동없음
국회,국회의장,우원식,배우자,채무,금융채무,"국민은행 0(100,000 감소)","100,000",0,"100,000",0,예금 등으로 상환
국회,국회의장,우원식,배우자,채무,건물임대채무,서울특별시 노원구 중계동 건영아파트상가 임대보증금,"60,000",0,0,"60,000",변동없음
국회,국회의장,우원식,장남,고지거부 및 등록제외사항,,고지거부,0,0,0,0,독립생계유지
국회,국회의장,우원식,총 계,고지거부 및 등록제외사항,,,"2,632,394","197,972","-30,501","2,860,867","증감액: 228,473천원 (가액변동: 19,615천원)"
국회,국회부의장,이학영,본인,토지,전,"전북특별자치도 순창군 풍산면 유정리 447번지 1,841.00㎡","2,835",0,0,"2,835",
국회,국회부의장,이학영,본인,토지,대지,전라남도 구례군 토지면 내서리 466번지 407.00㎡,"13,065",285,0,"13,350",
국회,국회부의장,이학영,본인,토지,답,"전라남도 광양시 봉강면 지곡리 822번지 3,568.00㎡","155,921","3,569",0,"159,490",
국회,국회부의장,이학영,본인,토지,대지,전라남도 구례군 토지면 내서리 467번지 271.00㎡,"9,160",217,0,"9,377",
국회,국회부의장,이학영,본인,토지,대지,전라남도 구례군 토지면 내서리 943-6번지 23.00㎡,777,19,0,796,
국회,국회부의장,이학영,본인,토지,대지,전라남도 구례군 토지면 내서리 968-1번지 108.00㎡,"3,650",87,0,"3,737",
